
   INFO  Server running on [http://0.0.0.0:8001].  

  Press Ctrl+C to stop the server

  2025-10-26 21:46:44 /api/v1/auth/me ............................ ~ 505.41ms
  2025-10-26 21:46:45 /api/v1/auth/me .............................. ~ 0.09ms
  2025-10-26 21:46:45 /api/v1/garden/my-garden ..................... ~ 0.07ms
  2025-10-26 21:46:45 /api/v1/garden/my-garden ..................... ~ 0.12ms
  2025-10-26 21:47:16 /api/v1/courses .............................. ~ 0.98ms
  2025-10-26 21:47:16 /api/v1/courses .............................. ~ 1.67ms
  2025-10-26 21:47:16 /api/v1/courses .............................. ~ 0.02ms
  2025-10-26 21:47:16 /api/v1/courses .............................. ~ 0.02ms
  2025-10-26 21:47:17 /api/v1/courses .............................. ~ 0.09ms
  2025-10-26 21:47:17 /api/v1/courses .............................. ~ 0.03ms
  2025-10-26 21:47:17 /api/v1/courses .............................. ~ 0.03ms
  2025-10-26 21:47:17 /api/v1/courses .............................. ~ 0.03ms
  2025-10-26 21:47:18 /api/v1/courses .............................. ~ 0.22ms
  2025-10-26 21:47:18 /api/v1/auth/me .............................. ~ 0.98ms
  2025-10-26 21:47:18 /api/v1/courses .............................. ~ 0.04ms
  2025-10-26 21:47:18 /api/v1/auth/me .............................. ~ 0.06ms
  2025-10-26 21:47:18 /api/v1/garden/my-garden ..................... ~ 0.02ms
  2025-10-26 21:47:18 /api/v1/garden/my-garden ..................... ~ 0.02ms
  2025-10-26 21:47:37 /api/v1/courses .............................. ~ 1.13ms
  2025-10-26 21:47:37 /api/v1/courses .............................. ~ 0.04ms
  2025-10-26 21:47:37 /api/v1/courses .............................. ~ 0.03ms
  2025-10-26 21:47:37 /api/v1/courses .............................. ~ 0.03ms
  2025-10-26 21:47:48 /api/v1/auth/login ......................... ~ 507.41ms
  2025-10-26 21:47:54 /api/v1/garden/my-garden ................... ~ 503.51ms
  2025-10-26 21:48:25 /api/v1/auth/me .............................. ~ 3.57ms
  2025-10-26 21:48:25 /api/v1/auth/me .............................. ~ 0.09ms
  2025-10-26 21:48:25 /api/v1/garden/my-garden ..................... ~ 0.07ms
  2025-10-26 21:48:25 /api/v1/garden/my-garden ..................... ~ 0.07ms
  PHP Deprecated:  App\Models\GardenActivity::logActivity(): Implicitly marking parameter $targetType as nullable is deprecated, the explicit nullable type must be used instead in /Users/panapat/brieflylearn/fitness-lms-admin/app/Models/GardenActivity.php on line 153
  PHP Deprecated:  App\Models\GardenActivity::logActivity(): Implicitly marking parameter $targetId as nullable is deprecated, the explicit nullable type must be used instead in /Users/panapat/brieflylearn/fitness-lms-admin/app/Models/GardenActivity.php on line 153
  2025-10-26 21:48:26 /api/v1/garden/my-garden ..................... ~ 0.41ms
  2025-10-26 21:48:30 /api/v1/courses .............................. ~ 0.25ms
  2025-10-26 21:48:30 /api/v1/courses .............................. ~ 1.92ms
  2025-10-26 21:48:30 /api/v1/courses .............................. ~ 0.04ms
  2025-10-26 21:48:30 /api/v1/courses .............................. ~ 0.04ms
  2025-10-26 21:48:49 /api/v1/courses .............................. ~ 1.38ms
  2025-10-26 21:48:49 /api/v1/courses .............................. ~ 3.20ms
  2025-10-26 21:48:49 /api/v1/courses .............................. ~ 0.08ms
  2025-10-26 21:48:49 /api/v1/courses .............................. ~ 0.12ms
  2025-10-26 21:48:52 /api/v1/garden/my-garden ..................... ~ 0.28ms
  2025-10-26 21:49:43 /api/v1/courses .............................. ~ 1.20ms
  2025-10-26 21:49:43 /api/v1/auth/me .............................. ~ 0.06ms
  2025-10-26 21:49:43 /api/v1/courses .............................. ~ 0.97ms
  2025-10-26 21:49:43 /api/v1/auth/me .............................. ~ 0.04ms
  2025-10-26 21:49:44 /api/v1/garden/my-garden ..................... ~ 0.03ms
  2025-10-26 21:49:44 /api/v1/garden/my-garden ..................... ~ 0.03ms
  2025-10-26 21:49:47 /api/v1/auth/logout .......................... ~ 0.10ms
